id,email,password,fullName,profilePicture,bio,role,createdAt,updatedAt,isAdmin
cmfx2o1fc0000xzz34x5703gz,Bill.Mayert17@hotmail.com,Msptwr5GvKyFpU_,Leigh Glover,https://i.pravatar.cc/150?img=40,,INSTRUCTOR,2025-09-23 21:33:29.762,2025-09-23 21:33:29.762,false
cmfx2o1ff0001xzz3wl84fz8x,Aracely_Cummings12@yahoo.com,tiTXkI2kCJRXyqW,Troy Jakubowski,https://i.pravatar.cc/150?img=58,,INSTRUCTOR,2025-09-23 21:33:29.762,2025-09-23 21:33:29.762,false
cmfx2o1ff0002xzz3o3yebz6w,John_OKeefe81@yahoo.com,5HOUiQBr8eScWjV,Sara Paucek,https://i.pravatar.cc/150?img=31,Quia cinis temperantia nam vir. Adflicto conculco sumo ter crustulum annus.,INSTRUCTOR,2025-09-23 21:33:29.762,2025-09-23 21:33:29.762,false
cmfx2o1fg0003xzz3143itmy0,Jose.Fritsch@hotmail.com,8Pl2CEjqBC2M2Tj,Nora Johnston DVM,https://i.pravatar.cc/150?img=34,Textor pectus aranea deorsum voveo. Cauda desparatus creo ver ea tamquam tenus articulus.,INSTRUCTOR,2025-09-23 21:33:29.762,2025-09-23 21:33:29.762,false
cmfx2o1fn0004xzz3ffrqtjnh,Jules_Bashirian15@yahoo.com,Net3eRIhjZeBTbi,Terry Christiansen,https://i.pravatar.cc/150?img=43,,INSTRUCTOR,2025-09-23 21:33:29.762,2025-09-23 21:33:29.762,false
cmfx2o1fn0005xzz3ixbj5fxe,Giovanni_Raynor81@gmail.com,6KnQ8Pvtr9qWIUX,Molly Hickle PhD,https://i.pravatar.cc/150?img=64,,INSTRUCTOR,2025-09-23 21:33:29.762,2025-09-23 21:33:29.762,false
cmfx2o1fn0006xzz3vt9rk1y6,Ciara86@yahoo.com,54pnEATbQzKOrvb,Jodi Mosciski,https://i.pravatar.cc/150?img=38,,INSTRUCTOR,2025-09-23 21:33:29.762,2025-09-23 21:33:29.762,false
cmfx2o1fn0007xzz3xak8h6u3,Jocelyn59@gmail.com,qEcfsi8gUi_3myU,Johnathan Fay Sr.,https://i.pravatar.cc/150?img=15,Sono conculco ante spes commodo audentia molestiae tumultus tenuis altus. Statim deporto denique.,INSTRUCTOR,2025-09-23 21:33:29.762,2025-09-23 21:33:29.762,false
cmfx2o1fn0008xzz3l4fxed29,Jeanette65@hotmail.com,aHXDvJhheU2C1JV,Charles Murphy,https://i.pravatar.cc/150?img=20,,INSTRUCTOR,2025-09-23 21:33:29.762,2025-09-23 21:33:29.762,false
cmfx2o1fn0009xzz3zsbs33ww,Jeromy48@yahoo.com,UQYcCSaC9m7icTp,Irvin Schulist IV,https://i.pravatar.cc/150?img=21,Cursim autem accusator culpo arx. Accendo quae ratione damnatio numquam molestias stips.,INSTRUCTOR,2025-09-23 21:33:29.762,2025-09-23 21:33:29.762,false
